WKT,VLAKNAAM,HOOGTEKLAS,H_M_NAP
"MULTIPOLYGON Z (((115152.158087311 481322.656944402 24,115102.904087311 481366.891944401 24,114877.800087311 481568.709944398 24,114865.830087311 481580.219944397 24,114851.230087311 481595.479944397 24,114806.842087311 481640.399944396 24,114805.150087312 481641.419944397 24,114800.840087312 481643.079944401 24,114766.320087311 481675.259944394 24,114768.430087311 481677.619944396 24,114765.710087312 481680.499944394 24,114702.130087312 481740.529944398 24,114691.940087312 481751.159944395 24,114671.790087312 481773.949944391 24,114535.859087312 481896.364944395 24,114549.154087312 481889.880944394 24,114594.765087312 481865.627944393 24,114639.531087312 481839.781944395 24,114677.268087312 481816.200944396 24,114721.296087312 481776.536944392 24,114805.580087312 481702.1599444 24,114835.370087312 481671.1099444 24,114885.720087312 481620.589944398 24,114904.620087312 481602.629944393 24,114925.930087312 481582.939944397 24,115055.290087312 481466.973944399 24,115059.368087312 481461.754944399 24,115089.751087312 481419.934944401 24,115118.637087312 481377.108944402 24,115146.021087311 481333.285944403 24,115152.158087311 481322.656944402 24)),((114575.192087292 479265.562944409 24,114792.070087296 479501.259944411 24,114841.584087296 479536.439944415 24,114968.530087298 479625.609944417 24,115074.683087299 479700.922944418 24,115059.357087299 479679.828944416 24,115027.553087298 479639.122944417 24,114994.326087298 479599.524944415 24,114959.749087297 479561.122944413 24,114923.852087297 479523.951944417 24,114886.692087296 479488.067944413 24,114848.278087296 479453.478944413 24,114808.705087295 479420.273944413 24,114767.985087295 479388.459944411 24,114726.179087294 479358.086944415 24,114683.325087293 479329.180944413 24,114639.516087293 479301.806944415 24,114594.750087293 479275.960944416 24,114575.192087292 479265.562944409 24)))",Maatgevende toetshoogte,20,24.0
"MULTIPOLYGON Z (((115568.256087303 479800.723944414 24.8,115568.256087303 479818.175944418 24.8,115568.865087303 479835.617944415 24.8,115570.083087303 479853.027944417 24.8,115571.907087303 479870.384944414 24.8,115574.336087303 479887.666944417 24.8,115577.366087303 479904.853944415 24.8,115580.995087304 479921.925944416 24.8,115585.217087304 479938.859944415 24.8,115590.028087304 479955.635944416 24.8,115595.421087304 479972.233944417 24.8,115601.390087304 479988.633944417 24.8,115607.928087304 480004.815944412 24.8,115615.026087305 480020.758944418 24.8,115622.969087305 480036.993944414 24.8,115630.870087305 480051.854944416 24.8,115639.596087305 480066.968944417 24.8,115648.845087305 480081.769944418 24.8,115655.576087306 480091.748944414 24.8,115711.218087306 480159.473944417 24.8,115727.181087307 480175.126944418 24.8,115740.150087307 480186.804944414 24.8,115753.520087307 480198.022944415 24.8,115767.272087307 480208.767944413 24.8,115781.589087307 480219.158944417 24.8,115795.876087307 480228.794944417 24.8,115810.677087308 480238.042944416 24.8,115825.791087308 480246.767944414 24.8,115841.201087308 480254.960944417 24.8,115856.888087308 480262.610944416 24.8,115872.831087308 480269.708944415 24.8,115888.996087308 480276.240944416 24.8,115905.396087309 480282.209944415 24.8,115921.994087309 480287.601944418 24.8,115938.771087309 480292.412944417 24.8,115955.704087309 480296.634944417 24.8,115972.776087309 480300.263944417 24.8,115989.963087309 480303.293944417 24.8,116007.245087309 480305.722944415 24.8,116024.602087309 480307.546944418 24.8,116042.01208731 480308.764944415 24.8,116059.45408731 480309.373944414 24.8,116076.92508731 480309.372944416 24.8,116094.12408731 480308.772944418 24.8,116111.77608731 480307.544944413 24.8,116129.13308731 480305.720944414 24.8,116146.41508731 480303.290944417 24.8,116163.60208731 480300.259944422 24.8,116180.67308731 480296.630944416 24.8,116197.60708731 480292.407944419 24.8,116214.383087311 480287.596944418 24.8,116230.981087311 480282.202944419 24.8,116247.381087311 480276.232944419 24.8,116263.562087311 480269.694944418 24.8,116279.506087311 480262.595944419 24.8,116295.191087311 480254.944944419 24.8,116310.601087311 480246.750944422 24.8,116325.715087311 480238.023944417 24.8,116340.515087311 480228.774944415 24.8,116354.983087311 480219.014944418 24.8,116369.088087311 480208.76794442 24.8,116382.855087311 480198.01194442 24.8,116396.223087311 480186.791944423 24.8,116409.192087311 480175.113944421 24.8,116421.746087311 480162.989944419 24.8,116433.869087311 480150.435944421 24.8,116445.547087311 480137.46494442 24.8,116456.764087311 480124.095944424 24.8,116467.509087311 480110.342944418 24.8,116477.766087311 480096.222944425 24.8,116487.525087311 480081.75394442 24.8,116496.773087311 480066.952944421 24.8,116505.498087311 480051.838944421 24.8,116513.691087311 480036.428944424 24.8,116521.341087311 480020.741944425 24.8,116528.439087311 480004.798944422 24.8,116534.97708731 479988.616944422 24.8,116540.94508731 479972.216944426 24.8,116546.33708731 479955.617944424 24.8,116551.14708731 479938.841944424 24.8,116555.36908731 479921.907944422 24.8,116558.99708731 479904.835944428 24.8,116562.02708731 479887.64894442 24.8,116564.45508731 479870.365944425 24.8,116566.27908731 479853.009944421 24.8,116567.495087309 479835.599944425 24.8,116568.104087309 479818.157944428 24.8,116568.103087309 479800.704944422 24.8,116567.493087309 479783.263944423 24.8,116566.275087309 479765.853944425 24.8,116564.451087309 479748.496944423 24.8,116562.021087309 479731.214944424 24.8,116558.990087309 479714.027944426 24.8,116555.361087308 479696.956944424 24.8,116551.138087308 479680.022944423 24.8,116546.327087308 479663.246944427 24.8,116540.933087308 479646.648944427 24.8,116534.963087308 479630.248944432 24.8,116528.425087308 479614.067944424 24.8,116521.334087307 479598.140944424 24.8,116513.675087307 479582.438944427 24.8,116505.481087307 479567.028944428 24.8,116496.754087307 479551.914944427 24.8,116487.505087307 479537.114944428 24.8,116477.745087307 479522.646944428 24.8,116467.486087306 479508.527944429 24.8,116456.741087306 479494.775944425 24.8,116445.522087306 479481.406944424 24.8,116433.844087306 479468.437944427 24.8,116421.720087306 479455.883944424 24.8,116409.166087306 479443.76094443 24.8,116396.195087305 479432.082944427 24.8,116382.826087305 479420.865944425 24.8,116369.073087305 479410.120944425 24.8,116354.953087305 479399.863944427 24.8,116340.484087305 479390.104944428 24.8,116325.699087304 479380.865944424 24.8,116310.569087304 479372.131944427 24.8,116295.159087304 479363.938944422 24.8,116279.472087304 479356.288944427 24.8,116263.529087304 479349.190944427 24.8,116247.347087304 479342.652944427 24.8,116230.947087304 479336.684944424 24.8,116214.348087303 479331.292944428 24.8,116197.572087303 479326.482944426 24.8,116180.638087303 479322.260944425 24.8,116163.566087303 479318.632944424 24.8,116146.379087303 479315.602944421 24.8,116129.096087303 479313.174944424 24.8,116111.740087303 479311.350944425 24.8,116094.330087303 479310.134944426 24.8,116076.888087302 479309.525944427 24.8,116059.435087302 479309.526944424 24.8,116041.994087302 479310.136944428 24.8,116024.584087302 479311.354944426 24.8,116007.227087302 479313.178944422 24.8,115989.945087302 479315.608944429 24.8,115972.758087302 479318.639944426 24.8,115955.687087302 479322.268944426 24.8,115938.753087302 479326.491944421 24.8,115921.977087302 479331.302944425 24.8,115905.379087301 479336.696944426 24.8,115888.979087301 479342.666944423 24.8,115872.798087301 479349.204944425 24.8,115856.854087301 479356.303944422 24.8,115841.169087301 479363.954944423 24.8,115825.759087301 479372.148944423 24.8,115810.645087301 479380.875944424 24.8,115795.845087301 479390.124944425 24.8,115781.377087301 479399.884944422 24.8,115767.258087301 479410.143944421 24.8,115753.506087301 479420.888944421 24.8,115740.137087301 479432.107944421 24.8,115727.168087301 479443.785944422 24.8,115714.614087301 479455.909944417 24.8,115702.491087301 479468.463944421 24.8,115690.813087301 479481.43494442 24.8,115679.596087301 479494.80394442 24.8,115668.851087301 479508.556944421 24.8,115658.594087301 479522.676944418 24.8,115648.835087301 479537.14594442 24.8,115639.587087301 479551.946944419 24.8,115630.862087301 479567.060944421 24.8,115622.669087301 479582.47094442 24.8,115615.019087302 479598.157944417 24.8,115607.921087302 479614.10094442 24.8,115601.383087302 479630.282944418 24.8,115595.421087302 479646.665944419 24.8,115590.028087302 479663.26394442 24.8,115585.217087302 479680.039944418 24.8,115580.995087302 479696.973944419 24.8,115577.366087302 479714.045944419 24.8,115574.336087302 479731.23294442 24.8,115571.907087302 479748.514944416 24.8,115570.083087303 479765.871944419 24.8,115568.865087303 479783.281944419 24.8,115568.256087303 479800.723944414 24.8)))",Maatgevende toetshoogte,20,24.8
"MULTIPOLYGON Z (((114492.97508729 478976.040944416 25,114507.28008729 479025.949944414 25,114556.580087292 479243.499944412 25,114562.140087292 479251.229944416 25,114575.192087292 479265.562944409 25,114594.750087293 479275.960944416 25,114639.516087293 479301.806944415 25,114683.325087293 479329.180944413 25,114726.179087294 479358.086944415 25,114767.985087295 479388.459944411 25,114808.705087295 479420.273944413 25,114848.278087296 479453.478944413 25,114886.692087296 479488.067944413 25,114923.852087297 479523.951944417 25,114959.749087297 479561.122944413 25,114994.326087298 479599.524944415 25,115027.553087298 479639.122944417 25,115059.357087299 479679.828944416 25,115074.683087299 479700.922944418 25,115133.8800873 479742.549944414 25,115459.453087303 479924.32494441 25,115450.747087303 479902.776944412 25,115426.482087302 479848.276944418 25,115400.315087302 479794.626944415 25,115372.307087301 479741.952944415 25,115342.4610873 479690.258944417 25,115310.8470873 479639.666944417 25,115277.478087299 479590.193944418 25,115242.391087299 479541.902944416 25,115205.663087298 479494.892944418 25,115167.293087298 479449.166944415 25,115127.363087297 479404.81994442 25,115085.909087296 479361.89494442 25,115042.995087296 479320.452944418 25,114998.636087295 479280.511944414 25,114952.935087295 479242.164944421 25,114905.911087294 479205.425944415 25,114857.634087293 479170.349944419 25,114808.147087293 479136.971944414 25,114757.555087292 479105.357944414 25,114705.860087292 479075.512944421 25,114653.186087291 479047.504944414 25,114599.551087291 479021.345944417 25,114545.03608729 478997.073944416 25,114492.97508729 478976.040944416 25)),((113906.866087285 478861.426944413 25,113847.192087285 478861.426944408 25,113790.794087284 478863.39694441 25,113904.616087286 478990.311944412 25,113957.680087287 479049.479944412 25,113967.730087287 479040.469944415 25,113966.490087287 479039.079944411 25,114141.754087287 478881.832944416 25,114085.364087286 478873.907944411 25,114026.033087286 478867.671944411 25,113966.487087286 478863.508944414 25,113906.866087285 478861.426944413 25)),((114677.268087312 481816.200944396 25,114639.531087312 481839.781944395 25,114594.765087312 481865.627944393 25,114549.154087312 481889.880944394 25,114535.859087312 481896.364944395 25,114427.930087312 481993.859944391 25,114373.450087312 482037.10994439 25,114371.490087312 482034.559944392 25,114327.510087312 482064.809944393 25,114279.470087311 482093.639944388 25,114269.190087311 482082.559944386 25,114242.030087311 482096.199944387 25,114203.640087311 482124.589944388 25,114178.180087311 482142.539944387 25,114156.580087311 482148.539944388 25,114127.110087311 482147.889944383 25,113897.300087309 482113.899944388 25,113800.397087308 482099.220944387 25,113775.914087308 482100.619944386 25,113739.018087308 482100.719944385 25,113699.477087308 482098.144944386 25,113655.635087307 482091.996944388 25,113613.600087307 482084.162944383 25,113529.247087306 482067.371944381 25,113230.579087304 482005.664944381 25,112829.516087301 481921.61594438 25,112848.160087301 481936.18194438 25,112896.424087302 481971.247944378 25,112945.896087302 482004.616944377 25,112996.518087303 482036.247944385 25,113048.183087303 482066.076944376 25,113100.887087304 482094.099944381 25,113154.522087304 482120.25894438 25,113209.038087305 482144.529944382 25,113264.368087305 482166.883944381 25,113320.443087306 482187.293944381 25,113377.197087306 482205.732944378 25,113434.560087307 482222.180944382 25,113492.445087307 482236.613944379 25,113550.832087308 482249.022944378 25,113609.600087308 482259.385944384 25,113668.677087309 482267.687944384 25,113728.042087309 482273.926944386 25,113787.57108731 482278.088944386 25,113847.19208731 482280.170944383 25,113906.883087311 482280.170944387 25,113966.504087311 482278.087944388 25,114026.033087311 482273.925944381 25,114085.398087312 482267.68594439 25,114144.491087312 482259.379944384 25,114203.242087312 482249.020944388 25,114261.629087312 482236.609944388 25,114319.514087313 482222.176944392 25,114376.877087313 482205.72894439 25,114433.647087313 482187.28194439 25,114489.706087313 482166.877944392 25,114545.036087314 482144.523944389 25,114599.551087314 482120.251944394 25,114653.201087314 482094.084944394 25,114694.036087314 482072.371944393 25,114568.290087312 481941.62994439 25,114569.850087312 481940.129944394 25,114539.870087312 481920.489944395 25,114601.610087312 481864.139944391 25,114619.990087312 481894.979944396 25,114618.920087312 481891.889944397 25,114618.100087312 481881.159944388 25,114620.544087312 481873.313944393 25,114628.690087312 481863.199944388 25,114640.930087312 481850.009944393 25,114657.100087312 481834.479944393 25,114677.268087312 481816.200944396 25)),((115535.377087311 480985.329944406 25,115458.379087311 481054.265944406 25,115314.990087311 481182.979944405 25,115311.670087311 481179.329944405 25,115152.158087311 481322.656944402 25,115146.021087311 481333.285944403 25,115118.637087312 481377.108944402 25,115089.751087312 481419.934944401 25,115059.368087312 481461.754944399 25,115055.290087312 481466.973944399 25,115168.440087312 481364.609944398 25,115367.870087312 481186.039944405 25,115471.190087312 481116.859944405 25,115484.080087312 481108.949944406 25,115491.120087312 481105.659944413 25,115502.718087312 481099.085944405 25,115511.958087312 481070.646944407 25,115528.411087312 481013.267944411 25,115535.377087311 480985.329944406 25)))",Maatgevende toetshoogte,20,25.0
