WKT,Kenmerk,Hoofdgroep,Subsoort,Kaliber,Aantallen,Verschijni,Oorlogshan,Afbakening,Horizontal,Cartografi,Opmerkinge,Hyperlink,SHAPE_Leng,SHAPE_Area
"MULTIPOLYGON (((125802 489744,125807.216479316 489743.609078918,125812.316431104 489742.445048203,125817.185930869 489740.533910377,125821.716202032 489737.918357101,125825.806045822 489734.656815514,125829.364101886 489730.822143065,125832.310889132 489726.5,125834.580581203 489721.786935853,125836.122476926 489716.788232688,125836.902132901 489711.615553276,125836.902132901 489706.384446724,125836.122476926 489701.211767312,125834.580581203 489696.213064147,125832.310889132 489691.5,125829.364101886 489687.177856935,125825.806045822 489683.343184486,125821.716202032 489680.081642899,125817.185930869 489677.466089623,125812.316431104 489675.554951797,125807.216479316 489674.390921082,125802 489674,125796.783520684 489674.390921082,125791.683568896 489675.554951797,125786.814069131 489677.466089623,125782.283797968 489680.081642899,125778.193954178 489683.343184486,125774.635898114 489687.177856935,125771.689110868 489691.5,125769.419418797 489696.213064147,125767.877523074 489701.211767312,125767.097867099 489706.384446724,125767.097867099 489711.615553276,125767.877523074 489716.788232688,125769.419418797 489721.786935853,125771.689110868 489726.5,125774.635898114 489730.822143065,125778.193954178 489734.656815514,125782.283797968 489737.918357101,125786.814069131 489740.533910377,125791.683568896 489742.445048203,125796.783520684 489743.609078918,125802 489744)))",VGA_400630B,Afwerpmunitie,Brisantbom(men),Onbekend,1 (blindganger),Afgeworpen,RAP_400630B,Blindganger,25 meter (exc. Cartografische onnauwkeurigheid),10 meter,afbakening conform Saricon 11S037-VO-01,RAP_400630B.pdf,219.91148575100,3848.45100065000
"MULTIPOLYGON (((126848.338500001 482060.690499999,126848.215100002 482060.873599999,126755.5689 482206.101199999,126755.201828659 482206.789806241,126754.946368423 482207.527139269,126754.808741487 482208.295240013,126754.792300001 482209.075399999,126755.943300001 482229.223499998,126756.042937773 482229.970808078,126756.25380444 482230.694639758,126756.571105761 482231.378538086,126756.987627612 482232.00695403,126757.493900001 482232.5656,126770.392299999 482244.8026,126771.05163595 482245.329875332,126771.790284824 482245.738704164,126772.587187944 482246.017430897,126773.419625817 482246.158109109,126774.26386587 482246.156728102,126775.095839047 482246.013327248,126775.891826022 482245.731994866,126776.629133423 482245.320751667,126777.286740818 482244.79132208,126777.845899999 482244.158799998,126795.789700001 482220.027600002,126902.876499999 482204.451200001,126903.71006952 482204.255881222,126904.498097601 482203.921218236,126905.217479652 482203.457023195,126905.847123748 482202.876906066,126906.368569037 482202.197875594,126906.766527004 482201.439840617,126907.029329719 482200.625026341,126907.149271937 482199.777322716,126907.122837011 482198.921583991,126906.950800002 482198.082899999,126901.6591 482180.223499998,126901.555399999 482179.911600001,126857.237599999 482061.6426,126856.867525831 482060.857850263,126856.367356749 482060.148894743,126855.752154858 482059.537082948,126855.040446365 482059.040838996,126854.25366368 482058.675106789,126853.4155 482058.4509,126852.579150777 482058.374377439,126851.741839111 482058.439530341,126850.927393715 482058.644504543,126850.158992561 482058.98346677,126849.458503262 482059.446770633,126848.845860761 482060.021231155,126848.338500001 482060.690499999)),((127064.421100002 482432.704799999,127063.552900001 482432.628800001,127062.814800002 482432.683600001,126974.179299999 482445.912799999,126973.352990486 482446.109070056,126972.57181942 482446.442358387,126971.85832544 482446.903048833,126971.233094541 482447.47784938,126970.71416612 482448.150175669,126970.316512491 482448.900629491,126970.051606908 482449.70755847,126969.927092524 482450.547680792,126969.946561875 482451.396756931,126970.109453225 482452.230289027,126970.41106677 482453.024227699,126970.842700245 482453.755665933,126971.391899999 482454.403499998,127088.158300001 482570.496,127088.478300001 482570.8123,127089.084604404 482571.331322649,127089.766344521 482571.746316568,127090.505847769 482572.04652397,127091.283944188 482572.224162653,127092.080463375 482572.274627733,127092.874757358 482572.196611016,127093.646235848 482571.99213491,127094.374899998 482571.666499998,127094.496100001 482571.605799999,127110.252099998 482563.0724,127110.892152718 482562.659758249,127111.462115585 482562.154700799,127111.948766813 482561.568943785,127112.340817248 482560.91607538,127112.629172248 482560.211240582,127112.807142663 482559.470789889,127112.8706 482558.7119,127113.532099999 482466.751,127113.467277673 482465.93019353,127113.268627284 482465.131154598,127112.941535774 482464.375551305,127112.494873116 482463.683873879,127111.940751775 482463.074879026,127111.294198252 482462.565081287,127110.572745595 482462.16830521,127109.795957945 482461.89531045,127108.984900001 482461.7535,127096.1087 482460.583,127066.924199998 482433.9364,127066.370345457 482433.498245096,127065.760283959 482433.142493015,127065.106185856 482432.876240794,127064.421100002 482432.704799999)))",VGA_400712A,Afwerpmunitie,Brisantbom(men),"250 lbs, 500 lbs (Brits)",Enkelen (mogelijke blindgangers),Afgeworpen,RAP_400712A,Situationele bepaling,0 meter (exc. Cartografische onnauwkeurigheid),5 meter,contouren percelen + 5m geo-ref afwijking,RAP_400712A.pdf,980.83413182000,24969.01446480000
"MULTIPOLYGON (((123965.879099999 487278.808800001,123821.429099999 487125.759599999,123820.841588424 487125.228577793,123820.177603673 487124.796977649,123819.45380257 487124.475626754,123818.688342502 487124.272586566,123817.900425917 487124.192950582,123817.109818613 487124.238716564,123816.336353887 487124.408736418,123815.599434993 487124.698745,123814.917548393 487125.101467111,123814.307799999 487125.606800001,123793.957400002 487145.392,123618.847899999 486977.4166,123618.202517781 486976.893204616,123617.479367808 486976.483918585,123616.698421639 486976.200045344,123615.881247011 486976.049424745,123615.050412202 486976.036216546,123614.228862747 486976.160785523,123613.439287745 486976.419691398,123612.703493241 486976.805783854,123612.0418 486977.308400001,123555.347899999 487028.332899999,123549.298599999 487024.4441,123548.607115612 487024.072811401,123547.866048879 487023.814304186,123547.093659282 487023.674947835,123546.308978081 487023.658176009,123545.531339392 487023.76440196,123544.779903812 487023.991008336,123544.073186302 487024.332411681,123543.428599998 487024.780200001,123528.852699999 487036.7062,123528.386216999 487037.14600118,123527.979855915 487037.641886386,123527.640299998 487038.185699999,123519.130199999 487053.99,123508.639899999 487059.235199999,123508.07955997 487059.562457585,123507.566300001 487059.9595,123460.2119 487101.779,123378.2718 487017.232700001,123378.067899998 487017.034,123328.097600002 486971.029599998,123310.0955 486953.7775,123307.281199999 486943.224,123307.071117338 486942.60304882,123306.781609385 486942.014915981,123306.417651853 486941.469709592,123305.9855 486940.976799998,123288.523 486923.5143,123287.867044077 486922.962296056,123287.126432693 486922.530461246,123286.322938374 486922.231490671,123285.480182284 486922.074173482,123284.622939806 486922.063134496,123283.776412194 486922.198698239,123282.965485708 486922.476879401,123282.214 486922.8895,123249.905699998 486944.428300001,123236.135400001 486930.658,123235.471488964 486930.100395718,123234.721233327 486929.665865076,123233.907192159 486929.367473762,123233.053842463 486929.214193959,123232.186843195 486929.210634562,123231.33226373 486929.356902596,123230.515799999 486929.648600001,123220.937800001 486934.0407,123220.219350967 486934.444883232,123219.577078407 486934.961622102,123219.028441101 486935.576870187,123218.588352559 486936.273903311,123218.268775629 486937.033774146,123218.078397313 486937.83582726,123218.022392631 486938.658260586,123218.102283948 486939.478718067,123218.315899593 486940.274897354,123218.657432891 486941.025156048,123219.117600001 486941.709100001,123228.087 486952.920899998,123222.506700002 486959.0244,123221.987779382 486959.699424817,123221.590912745 486960.45270696,123221.327608243 486961.262403108,123221.205501055 486962.105034077,123221.228131987 486962.95616565,123221.394844798 486963.791117117,123221.700805229 486964.58567695,123222.137141184 486965.316804879,123222.691199999 486965.963300001,123235.098700002 486978.163899999,123227.8277 486985.9802,123227.29379843 486986.664787904,123226.886364715 486987.431409879,123226.617682607 486988.256952979,123226.495852623 486989.116527839,123226.524547827 486989.984219069,123226.702903083 486990.833866576,123227.025541145 486991.639854272,123227.482734773 486992.377882369,123228.060699999 486993.025699999,123255.312899999 487018.690400001,123255.953922562 487019.201706959,123256.669892754 487019.601371087,123257.441556094 487019.878644276,123258.248160351 487020.02606986,123259.068013637 487020.039683143,123259.879067756 487019.919118026,123260.659511148 487019.667616848,123261.388355464 487019.291943194,123262.046 487018.802200001,123269.612300001 487012.136700001,123377.299400002 487121.316,123374.340799998 487124.156199999,123373.814597089 487124.74836121,123373.388522198 487125.41619696,123373.073270409 487126.142943622,123372.87675499 487126.910358824,123372.803908759 487127.699179353,123372.856560257 487128.489604695,123373.033387859 487129.261794051,123373.32995294 487129.99636437,123373.738811295 487130.674876896,123374.249699999 487131.280299999,123472.411800001 487230.462200001,123461.521499999 487240.185699999,123460.94684659 487240.792434318,123460.481269077 487241.486401647,123460.137772471 487242.248217343,123459.925951689 487243.056601553,123459.851723536 487243.888973618,123459.917161434 487244.722082828,123460.1204375 487245.53265788,123460.455873609 487246.29805692,123460.914099999 487246.9969,123465.676600002 487253.0823,123466.219565844 487253.671857842,123466.849757026 487254.167084486,123467.550980379 487254.555254763,123468.305217517 487254.826394387,123469.093087828 487254.97353625,123469.894346476 487254.992899447,123470.688404604 487254.883986428,123471.454858373 487254.649595784,123472.174013261 487254.295750334,123472.827390117 487253.831542365,123473.398200002 487253.2689,123479.8781 487245.765799999,123507.825399999 487274.6446,123508.424512242 487275.172040292,123509.099919956 487275.597426189,123509.83441157 487275.909917487,123510.609269865 487276.101550896,123511.40474895 487276.167442979,123512.200577449 487276.105914593,123512.976475081 487275.91853368,123513.712669468 487275.610075311,123514.3904 487275.1884,123523.226100001 487268.657699998,123523.720100001 487269.1164,123608.384500001 487363.903700002,123662.9045 487462.670899998,123663.387450909 487463.377450328,123663.983832705 487463.991277424,123664.676168767 487464.494393441,123665.444170592 487464.872054858,123666.265332335 487465.113194529,123667.115590332 487465.210745996,123667.970028268 487465.16185057,123668.803607339 487464.967941104,123669.591899998 487464.6347,123756.4615 487418.790100001,123894.534200002 487358.672400001,123895.103200268 487358.380014629,123895.630209452 487358.017369031,123896.106600001 487357.590399999,123965.875100002 487286.488899998,123966.213199999 487286.144699998,123966.757921871 487285.492522027,123967.183348399 487284.756947222,123967.476996844 487283.9595586,123967.630251062 487283.123752899,123967.638614312 487282.274054082,123967.501841203 487281.435393757,123967.22394489 487280.632379645,123966.813079324 487279.888573548,123966.281300001 487279.2258,123965.879099999 487278.808800001)))",VGA_400726B,Afwerpmunitie,"Brandbom(men), Brisantbom(men)","25 lbs (Brits), 250 lbs (Brits)",Enkelen (mogelijke blindgangers),Afgeworpen,RAP_400726B,Situationele bepaling,0 meter (exc. Cartografische onnauwkeurigheid),5 meter,contouren Werkspoor + contouren Witteburgervaart + 5m georeferentie-afwijking,RAP_400726B.pdf,2181.90868447000,158626.37250600001
"MULTIPOLYGON (((127553.685199998 488459.305500001,127558.901679314 488458.914578919,127564.001631103 488457.750548203,127568.871130867 488455.839410377,127573.401402031 488453.223857102,127577.49124582 488449.962315515,127581.049301885 488446.127643066,127583.996089131 488441.805500001,127586.265781201 488437.092435854,127587.807676925 488432.093732689,127588.5873329 488426.921053276,127588.5873329 488421.689946725,127587.807676925 488416.517267312,127586.265781201 488411.518564148,127583.996089131 488406.805500001,127581.049301885 488402.483356936,127577.49124582 488398.648684487,127573.401402031 488395.3871429,127568.871130867 488392.771589624,127564.001631103 488390.860451798,127558.901679314 488389.696421083,127553.685199998 488389.305500001,127548.468720682 488389.696421083,127543.368768894 488390.860451798,127538.499269129 488392.771589624,127533.968997966 488395.3871429,127529.879154176 488398.648684487,127526.321098112 488402.483356936,127523.374310866 488406.805500001,127521.104618796 488411.518564148,127519.562723072 488416.517267312,127518.783067097 488421.689946725,127518.783067097 488426.921053276,127519.562723072 488432.093732689,127521.104618796 488437.092435854,127523.374310866 488441.805500001,127526.321098112 488446.127643066,127529.879154176 488449.962315515,127533.968997966 488453.223857102,127538.499269129 488455.839410377,127543.368768894 488457.750548203,127548.468720682 488458.914578919,127553.685199998 488459.305500001)))",VGA_400815A,Afwerpmunitie,Brisantbom(men),Onbekend (Duits),1 (blindganger),Afgeworpen,RAP_400815A,Blindganger,25 meter (exc. Cartografische onnauwkeurigheid),10 meter,vermoedelijk inslagpunt blindganger 25 meter + 10m georeferentie-afwijking,RAP_400815A.pdf,219.91148575100,3848.45100065000
