WKT,Kenmerk,Soort_rapp,Onderzoeks,Opdrachtne,Opdrachtge,Verdacht_g,Datum,SHAPE_Leng,SHAPE_Area
MULTIPOLYGON (((125804.538400002 488112.9804,127097.999200001 486977.0986,127252.295299999 486878.611699998,127193.203200001 486835.934099998,125725.7489 486812.9538,125758.577799998 486904.874899998,125653.525199998 487679.6382,125620.696199998 487692.7698,125597.716 487879.894900002,125804.538400002 488112.9804)))",128103,Probleeminventarisatie,Zeeburgereiland,IBA,Projectbureau IJburg,Gedeeltelijk,2006/01/06,4859.95505743000,1090064.24653999996
"MULTIPOLYGON (((125804.538400002 488112.9804,127097.999200001 486977.0986,127252.295299999 486878.611699998,127193.203200001 486835.934099998,125725.7489 486812.9538,125758.577799998 486904.874899998,125653.525199998 487679.6382,125620.696199998 487692.7698,125597.716 487879.894900002,125804.538400002 488112.9804)))",S2008/JS-AW,Probleemanalyse,Zeeburgereiland,Leemans,Projectbureau IJburg,Gedeeltelijk,2008/03/01,4859.95505743000,1090064.24653999996
"MULTIPOLYGON (((122724.094900001 489481.533500001,122946.619399998 489338.688499998,122882.6281 489239.6052,122685.287300002 489364.285,122669.599100001 489341.165600002,122634.507100001 489325.8902,122620.470400002 489356.440900002,122687.764400002 489422.083500002,122724.094900001 489481.533500001)))",50315,Quickscan,Mosveld,IBA,Stadsdeel Amsterdam-Noord,Gedeeltelijk,2010/02/08,879.31879859400,33753.58940870000
"MULTIPOLYGON (((122801.974599998 483645.145100001,123355.029399998 483339.5436,123563.5381 482950.401700001,123126.450300001 483177.865699999,123106.38 483213.546399999,122853.270500001 483114.309599999,122655.912 483563.662599999,122801.974599998 483645.145100001)))",35312.050,Quickscan,Zuidergasfabriek,IBA,Ontwikkelingsbedrijf gemeente Amsterdam,Nee,2010/11/04,2536.93089477000,250448.80328100000
"MULTIPOLYGON (((117374.9111 487032.550299998,117364.644400001 486965.732500002,117356.139800001 486892.8356,117354.924800001 486873.396499999,117346.033100002 486874.5328,117347.655499998 486893.676600002,117355.767299999 486966.0337,117364.528 487034.821600001,117374.9111 487032.550299998)))",-,Quickscan,Westtak/Jan Evertsenstraat,IBA,Grontmij Maunsell,Nee,2008/01/01,341.42926979300,1469.38994992000
"MULTIPOLYGON (((118770.102299999 485306.9122,118789.142099999 485316.432100002,118792.315400001 485300.5656,118789.671 485294.219,118836.2126 485089.012899999,118812.941799998 485084.781800002,118766.400199998 485304.2678,118770.102299999 485306.9122)))",45192.700,Probleeminventarisatie,Amstelveenseweg,IBA,DIVV,Niet bekend,2009/10/14,507.32931569100,5100.48195800000
"MULTIPOLYGON (((125571.615499999 489877.2555,125881.5233 490016.1796,126063.193300001 489602.0788,125737.255899999 489465.826200001,125571.615499999 489877.2555)))",35279,Probleeminventarisatie,Breehorngebied,IBA,Stadsdeel Amsterdam-Noord,Gedeeltelijk,2010/12/30,1588.61125907000,155120.27032200000
"MULTIPOLYGON (((123778.014199998 487385.844099998,123445.355799999 487558.570500001,122811.103700001 487728.5898,122709.8583 487707.274799999,122701.8653 487733.918400001,122805.774799999 487752.5689,123461.333700001 487577.2267,123790.808800001 487405.035799999,123778.014199998 487385.844099998)))",S2008.092,Vooronderzoek,Dijksgracht,Leemans,Grontmij Maunsell,Ja,2008/10/01,2341.75044484000,26142.91010060000
"MULTIPOLYGON (((121283.696699999 489141.257,121269.247299999 489188.054900002,121262.772399999 489187.079100002,121249.580200002 489233.252,121273.721099999 489241.302099999,121304.547899999 489250.108800001,121353.6523 489323.399,121392.496199999 489316.802900001,121283.696699999 489141.257)))",-,Detectie,Stenenhoofd,KM,Gemeente Amsterdam,Nee,1995/12/01,495.20146437000,8532.69453522000
