Id|Bron_id|Bedrijfsnaam|Type_contour|Afstandseis|Voldoet|geometrie
1|10|ACT|Plaatsgebonden risico 10-6|variabel|J|POLYGON ((112007.22 493717.08,112045.8 493775.87,112066.01 493792.4,112149.59 493853.94,112190.01 493872.31,112218.48 493881.5,112268.08 493883.34,112318.6 493879.67,112356.26 493879.67,112390.02 493875.3,112433.65 493860.14,112479.57 493839.02,112519.99 493813.3,112560.86 493785.29,112598.52 493765.08,112613.21 493756.35,112626.08 493749.01,112643.53 493740.74,112680.73 493712.27,112700.02 493698.95,112777.18 493648.89,112815.29 493623.17,112841.01 493604.34,112861.22 493580.46,112895.67 493528.56,112919.54 493484.93,112934.7 493454.17,112967.08 493375.4,112994.64 493287.23,113019.44 493194.46,113049.75 493067.7,113059.86 493007.08,113078.22 492898.69,113083.74 492845.42,113079.15 492791.23,113072.72 492756.32,113062.61 492743.46,113059.86 492726.93,113050.67 492703.97,113040.57 492695.7,113031.39 492686.52,113024.95 492671.82,113011.18 492668.14,112999.24 492663.55,112991.89 492656.21,112976.27 492653.45,112950.56 492652.53,112934.94 492648.86,112917.49 492649.78,112894.52 492647.94,112854.11 492647.94,112834.82 492636.91,112817.37 492633.24,112803.59 492624.06,112773.28 492613.03,112753.07 492600.17,112728.27 492589.15,112715.41 492578.13,112697.04 492558.84,112669.72 492547.13,112654.56 492528.76,112639.4 492510.39,112620.12 492491.1,112596.23 492475.48,112545.26 492440.58,112444.22 492397.87,112429.52 492395.11,112415.75 492395.11,112349.15 492398.79,112320.68 492403.38,112292.21 492407.51,112278.42 492410.27,112261.89 492414.86,112226.53 492435.52,112208.62 492443.79,112192.08 492458.49,112182.9 492469.51,112166.36 492478.23,112144.78 492489.26,112133.3 492497.98,112127.79 492507.63,112118.6 492530.13,112110.8 492544.83,112107.12 492564.11,112102.99 492577.44,112097.47 492602.23,112096.1 492633.92,112097.47 492651.83,112106.2 492689.95,112117.22 492757.01,112122.28 492775.83,112127.33 492801.09,112127.79 492827.27,112124.34 492888.12,112118.83 492922.11,112117.91 492956.1,112109.64 493007.53,112105.97 493040.6,112088.51 493098.46,112083 493128.78,112063.72 493156.33,112053.61 493175.62,112037.08 493220.63,112017.79 493261.96,112003.09 493295.94,111977.37 493387.79,111959 493439.23,111947.06 493470.46,111942.47 493499.85,111939.71 493552.21,111945.22 493586.19,111969.1 493632.12,111983.8 493673.45,112007.22 493717.08))
6|27|CALDIC NEDERLAND|Plaatsgebonden risico 10-6|20m|J|POLYGON ((116527.3 489858.51,116527.26 489857.17,116527.14 489855.84,116526.95 489854.52,116526.68 489853.21,116526.33 489851.92,116525.91 489850.66,116525.42 489849.43,116524.85 489848.23,116524.22 489847.08,116523.52 489845.97,116522.75 489844.9,116521.93 489843.89,116521.05 489842.94,116520.11 489842.04,116519.12 489841.21,116518.09 489840.45,116517.02 489839.76,116515.9 489839.14,116514.76 489838.59,116513.58 489838.12,116512.38 489837.73,116511.16 489837.42,116509.92 489837.19,116508.67 489837.05,116507.41 489836.98,116506.16 489837,116504.91 489837.11,116503.66 489837.29,116502.43 489837.56,116501.22 489837.91,116500.03 489838.34,116498.87 489838.85,116497.74 489839.43,116496.64 489840.09,116495.59 489840.82,116494.58 489841.62,116493.62 489842.48,116492.71 489843.41,116491.86 489844.39,116491.06 489845.43,116490.33 489846.52,116489.66 489847.65,116489.06 489848.83,116488.53 489850.04,116488.08 489851.29,116487.69 489852.56,116487.38 489853.86,116487.15 489855.18,116486.99 489856.5,116486.91 489857.84,116486.91 489859.18,116486.99 489860.52,116487.15 489861.84,116487.38 489863.16,116487.69 489864.46,116488.08 489865.73,116488.53 489866.98,116489.06 489868.19,116489.66 489869.37,116490.33 489870.5,116491.06 489871.59,116491.86 489872.63,116492.71 489873.61,116493.62 489874.54,116494.58 489875.4,116495.59 489876.2,116496.64 489876.92,116497.74 489877.58,116498.87 489878.16,116500.03 489878.67,116501.22 489879.1,116502.43 489879.45,116503.66 489879.72,116504.91 489879.91,116506.16 489880.01,116507.41 489880.03,116508.67 489879.97,116509.92 489879.82,116511.16 489879.6,116512.38 489879.29,116513.58 489878.9,116514.76 489878.43,116515.9 489877.88,116517.02 489877.26,116518.09 489876.57,116519.12 489875.81,116520.11 489874.98,116521.04 489874.08,116521.93 489873.13,116522.75 489872.12,116523.52 489871.05,116524.22 489869.94,116524.85 489868.79,116525.42 489867.59,116525.91 489866.36,116526.33 489865.1,116526.68 489863.81,116526.95 489862.5,116527.14 489861.18,116527.26 489859.85,116527.3 489858.51))
15|8|JAAP EDEN IJSCOMPLEX|Plaatsgebonden risico 10-6|70m|J|POLYGON ((124919.05 484750.84,124918.92 484746.49,124918.51 484742.15,124917.84 484737.85,124916.9 484733.6,124915.7 484729.41,124914.24 484725.31,124912.52 484721.31,124910.56 484717.42,124908.37 484713.66,124905.94 484710.04,124903.29 484706.59,124900.43 484703.3,124897.38 484700.2,124894.14 484697.28,124890.72 484694.59,124887.14 484692.1,124883.42 484689.85,124879.56 484687.83,124875.59 484686.05,124871.51 484684.53,124867.34 484683.26,124863.11 484682.26,124858.81 484681.51,124854.48 484681.04,124850.13 484680.84,124845.78 484680.91,124841.44 484681.24,124837.13 484681.85,124832.86 484682.73,124828.66 484683.86,124824.54 484685.26,124820.51 484686.91,124816.58 484688.81,124812.79 484690.95,124809.14 484693.32,124805.64 484695.91,124802.31 484698.71,124799.16 484701.72,124796.2 484704.91,124793.45 484708.29,124790.91 484711.83,124788.6 484715.52,124786.52 484719.35,124784.69 484723.29,124783.1 484727.35,124781.76 484731.49,124780.69 484735.71,124779.88 484739.99,124779.34 484744.31,124779.07 484748.66,124779.07 484753.02,124779.34 484757.36,124779.88 484761.68,124780.69 484765.96,124781.76 484770.18,124783.09 484774.33,124784.68 484778.38,124786.52 484782.33,124788.6 484786.15,124790.91 484789.84,124793.45 484793.39,124796.2 484796.76,124799.16 484799.96,124802.31 484802.96,124805.64 484805.77,124809.14 484808.36,124812.79 484810.73,124816.58 484812.87,124820.5 484814.76,124824.53 484816.41,124828.66 484817.81,124832.86 484818.95,124837.13 484819.82,124841.44 484820.43,124845.78 484820.77,124850.13 484820.84,124854.48 484820.63,124858.81 484820.16,124863.1 484819.42,124867.34 484818.41,124871.51 484817.14,124875.59 484815.62,124879.56 484813.85,124883.42 484811.83,124887.14 484809.57,124890.72 484807.09,124894.14 484804.39,124897.38 484801.48,124900.43 484798.38,124903.29 484795.09,124905.94 484791.64,124908.37 484788.02,124910.56 484784.26,124912.52 484780.37,124914.24 484776.37,124915.7 484772.26,124916.9 484768.08,124917.84 484763.83,124918.51 484759.53,124918.92 484755.19,124919.05 484750.84))
27|23|SONNEBORN REFINED PRODUCT BV|Invloedsgebied|520m|J|POLYGON ((117428.63 489767.47,117427.63 489735.14,117424.62 489702.93,117419.61 489670.98,117412.62 489639.39,117403.68 489608.31,117392.83 489577.83,117380.1 489548.09,117365.55 489519.2,117349.23 489491.27,117331.21 489464.41,117311.55 489438.72,117290.33 489414.31,117267.64 489391.25,117243.55 489369.66,117218.18 489349.6,117191.6 489331.16,117163.92 489314.41,117135.26 489299.41,117105.73 489286.22,117075.42 489274.9,117044.48 489265.48,117013.01 489258,116981.13 489252.49,116948.98 489248.98,116916.66 489247.47,116884.32 489247.97,116852.07 489250.48,116820.04 489255,116788.35 489261.49,116757.12 489269.95,116726.49 489280.32,116696.55 489292.59,116667.44 489306.68,116639.26 489322.57,116612.12 489340.17,116586.13 489359.43,116561.38 489380.26,116537.99 489402.59,116516.02 489426.34,116495.57 489451.4,116476.72 489477.69,116459.54 489505.1,116444.1 489533.52,116430.45 489562.85,116418.65 489592.98,116408.75 489623.77,116400.79 489655.12,116394.79 489686.91,116390.77 489719,116388.76 489751.29,116388.76 489783.64,116390.77 489815.92,116394.78 489848.02,116400.78 489879.8,116408.75 489911.16,116418.65 489941.95,116430.45 489972.07,116444.09 490001.4,116459.54 490029.83,116476.71 490057.24,116495.56 490083.52,116516.01 490108.59,116537.98 490132.33,116561.38 490154.67,116586.13 490175.5,116612.11 490194.76,116639.25 490212.36,116667.43 490228.25,116696.54 490242.34,116726.48 490254.61,116757.12 490264.99,116788.34 490273.44,116820.03 490279.93,116852.06 490284.45,116884.31 490286.96,116916.66 490287.47,116948.97 490285.96,116981.12 490282.44,117013 490276.94,117044.47 490269.46,117075.42 490260.04,117105.72 490248.71,117135.25 490235.53,117163.92 490220.53,117191.59 490203.78,117218.17 490185.34,117243.55 490165.28,117267.63 490143.69,117290.33 490120.63,117311.55 490096.22,117331.2 490070.53,117349.23 490043.67,117365.55 490015.74,117380.1 489986.85,117392.82 489957.11,117403.68 489926.64,117412.62 489895.55,117419.61 489863.97,117424.62 489832.01,117427.63 489799.8,117428.63 489767.47))
26|13|SIMADAN|Plaatsgebonden risico 10-6|variabel|J|POLYGON ((115700.15 490385.74,115704.57 490380.65,115708.55 490375.19,115712.04 490369.42,115715.03 490363.37,115717.49 490357.08,115719.41 490350.61,115720.77 490344,115721.56 490337.29,115721.78 490330.55,115721.41 490323.81,115720.48 490317.12,115718.98 490310.54,115716.92 490304.11,115714.33 490297.88,115711.21 490291.9,115707.59 490286.2,115703.49 490280.83,115698.96 490275.83,115694.02 490271.23,115688.7 490267.08,115683.05 490263.39,115681.21 490262.4,115676.93 490259.55,115672.41 490257.1,115667.7 490255.06,115662.81 490253.45,115657.81 490252.28,115652.72 490251.56,115647.59 490251.3,115642.45 490251.5,115637.35 490252.15,115632.33 490253.25,115627.43 490254.8,115622.69 490256.78,115618.14 490259.17,115613.82 490261.96,115611.6 490263.03,115605.32 490266.53,115599.39 490270.58,115593.86 490275.15,115588.75 490280.21,115584.13 490285.71,115580.02 490291.6,115576.46 490297.84,115573.48 490304.38,115571.11 490311.16,115569.36 490318.12,115568.25 490325.22,115568.05 490329.1,115568.18 490335.79,115568.88 490342.44,115570.15 490349,115571.98 490355.42,115574.36 490361.67,115577.27 490367.68,115580.69 490373.43,115584.59 490378.86,115588.94 490383.93,115593.71 490388.6,115598.88 490392.85,115604.39 490396.63,115610.2 490399.93,115616.28 490402.71,115622.57 490404.96,115629.03 490406.65,115635.62 490407.79,115642.28 490408.34,115648.97 490408.33,115655.62 490407.73,115662.2 490406.57,115668.66 490404.84,115674.94 490402.56,115681.01 490399.74,115686.8 490396.42,115692.29 490392.61,115697.43 490388.33,115700.15 490385.74))
