Id|Type|Tma_id|Locatie|geometrie
57|Bunkerschip|5|Monding ARK|POLYGON ((125588.54 487674.95,125589.67 487669.19,125591.29 487663.55,125593.4 487658.07,125595.98 487652.79,125599.01 487647.77,125602.47 487643.02,125606.32 487638.59,125610.55 487634.52,125615.12 487630.83,125619.99 487627.55,125625.13 487624.71,125630.49 487622.33,125636.05 487620.42,125641.74 487619.01,125647.54 487618.1,125653.4 487617.7,125659.27 487617.8,125665.11 487618.42,125669.64 487619.11,125675.4 487620.23,125681.04 487621.86,125686.52 487623.97,125691.8 487626.55,125696.82 487629.58,125701.57 487633.03,125706 487636.89,125710.07 487641.12,125713.76 487645.68,125717.04 487650.55,125719.88 487655.69,125722.26 487661.06,125724.17 487666.61,125725.58 487672.31,125726.49 487678.11,125726.9 487683.97,125726.79 487689.84,125726.17 487695.67,125715.14 487768.92,125714.01 487774.68,125712.39 487780.32,125710.28 487785.8,125707.7 487791.07,125704.67 487796.1,125701.21 487800.85,125697.36 487805.27,125693.13 487809.35,125688.56 487813.04,125683.69 487816.31,125678.55 487819.15,125673.19 487821.54,125667.63 487823.44,125661.94 487824.86,125656.14 487825.77,125650.28 487826.17,125644.41 487826.06,125638.57 487825.44,125634.04 487824.76,125628.28 487823.63,125622.64 487822.01,125617.16 487819.9,125611.88 487817.32,125606.85 487814.29,125602.11 487810.83,125597.68 487806.98,125593.61 487802.75,125589.92 487798.18,125586.64 487793.31,125583.8 487788.17,125581.42 487782.81,125579.51 487777.26,125578.1 487771.56,125577.19 487765.76,125576.78 487759.9,125576.89 487754.03,125577.51 487748.19,125588.54 487674.95))
60|Vuurwerkopslag|3|Spaarndammerstraat 135-137|POINT (120370.74 489485.27)
